Distance from Center (cmd=annotatePeaks.pl tss mm9 -size 10000 -hist 20 -len 1 -d 3T3_ChIP_bulk )	3T3_ChIP_bulk Coverage	3T3_ChIP_bulk + Tags	3T3_ChIP_bulk - Tags
4220	10.69746712	0.002470622	0.002618437
4240	10.76937711	0.002516279	0.002646972
4260	10.66664855	0.002475188	0.002581911
4280	10.53766714	0.002433525	0.00260474
4300	10.66778998	0.002560224	0.00250144
4320	10.62898141	0.002480324	0.002571068
4340	10.84014567	0.00259675	0.002569355
4360	10.57875856	0.00254938	0.002491168
4380	10.24089575	0.002422682	0.002439233
4400	10.74198282	0.00257335	0.002536254
4420	10.55136428	0.002497445	0.002533971
4440	10.37444287	0.002447793	0.002510572
4460	10.46575715	0.002408985	0.002568214
4480	10.67577998	0.00248489	0.002615013
4500	10.68262855	0.002462061	0.002618437
4520	10.6929014	0.002488885	0.002579058
4540	10.63012284	0.002515138	0.002543103
4560	10.66893141	0.002474046	0.00258933
4580	10.46461572	0.002470622	0.002496304
4600	10.96456137	0.002616154	0.002626427
4620	10.45662572	0.002462632	0.002523698
4640	10.28541146	0.002468339	0.00244551
4660	10.22605718	0.00234906	0.002513425
4680	10.27742146	0.002414121	0.002472905
4700	10.07881291	0.002268018	0.002504865
4720	10.38243287	0.002386727	0.002538537
4740	10.17241004	0.002350201	0.002502582
4760	10.02288292	0.002374171	0.002415833
4780	10.33335145	0.002396429	0.002551093
4800	9.90874008	0.002239483	0.002474046
4820	10.43493858	0.002434096	0.002537966
4840	10.45776715	0.002454642	0.002531688
4860	10.21007718	0.002442657	0.002431813
4880	10.14844005	0.002450647	0.00240499
4900	10.17126862	0.002504294	0.002335933
4920	9.929285792	0.002326231	0.002388439
4940	10.14844005	0.002370176	0.002467198
4960	9.866507229	0.002338216	0.002377025
4980	10.16327862	0.002383303	0.002467198
5000	10.57533428	0.002432384	0.002603028
