name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
ENSG00000082641_LINE332_NFE2L1_D_N2	NFE2L1	1.07155217868685	0.833896407504839	1.27384274400989	0.239956329417776	1
ENSG00000092067_LINE336_CEBPE_D_N1	CEBPE	0.719277254168111	0.527929565115812	0.874994534600235	0.99503070867683	1
ENSG00000092067_LINE337_CEBPE_D_N1	CEBPE	0.457661455022753	0.356038172669772	0.532842182896546	0.999999978501252	1
ENSG00000095794_LINE339_CREM_D	CREM	0.737665601971247	0.571592032089892	0.854759466280403	0.991651944284652	1
ENSG00000100219_LINE344_XBP1_D_N4	XBP1	0.729172463602564	0.577102571885495	0.872189441177883	0.993400834849913	1
ENSG00000100219_LINE343_XBP1_D_N1	XBP1	0.621806252218718	0.516451465243086	0.695062968976641	0.999835624895277	1
ENSG00000105516_LINE349_DBP_D_N2	DBP	0.572696031596381	0.444900972511315	0.672832675150585	0.999981737505646	1
ENSG00000105516_LINE351_DBP_D_N1	DBP	0.743167896052531	0.587039670249963	0.85973848612214	0.990318022154402	1
ENSG00000107175_LINE352_CREB3_D_N1	CREB3	0.762796209865944	0.623569412730955	0.859600030144011	0.983982473378218	1
ENSG00000107175_LINE353_CREB3_D_N1	CREB3	0.611886683796354	0.483976318683283	0.725646137954898	0.999891516332492	1
ENSG00000108924_LINE356_HLF_D_N4	HLF	0.637604273170938	0.530294516007376	0.728262365211977	0.999690166419744	1
ENSG00000112182_LINE360_BACH2_D	BACH2	0.522913143412776	0.414206694896708	0.60877175380376	0.999998665456153	1
ENSG00000115966_LINE362_ATF2_D_N1	ATF2	1000	1000	1000	1000	1000
ENSG00000115966_LINE363_ATF2_D_N1	ATF2	0.714723707267002	0.561921160263925	0.815981534637983	0.995654474798104	1
ENSG00000116044_LINE367_NFE2L2_D	NFE2L2	0.583510556356146	0.461935532188908	0.677210094120502	0.999969442756359	1
ENSG00000118217_LINE369_ATF6_D_N2	ATF6	0.590366760743467	0.458673395687597	0.700451521662001	0.999958042598562	1
ENSG00000118260_LINE378_CREB1_D_N5	CREB1	0.899239652668912	0.756789141631061	0.997587835585733	0.799988263347843	1
ENSG00000118260_LINE376_CREB1_D_N1	CREB1	0.709618585791367	0.586476255428865	0.809186596920472	0.996271390191522	1
ENSG00000118260_LINE377_CREB1_D_N1	CREB1	0.567475544446591	0.438698678875133	0.661580101635659	0.999985848679931	1
ENSG00000123268_LINE383_ATF1_D	ATF1	0.816140707592651	0.661518462014013	0.942991023499049	0.947928682791015	1
ENSG00000123405_LINE390_NFE2_D_N3	NFE2	0.811669950155853	0.679948566959814	0.908828350187877	0.952348971710965	1
ENSG00000123405_LINE389_NFE2_D_N1	NFE2	0.667140829455426	0.5348443012485	0.775277230255035	0.999071817145421	1
ENSG00000123685_LINE392_BATF3_D	BATF3	0.720858047674482	0.567030336122788	0.833215659436336	0.994796619334839	1
ENSG00000125740_LINE393_FOSB_D	FOSB	0.833272566536889	0.670149760500563	0.946341701101873	0.928023875697133	1
ENSG00000128272_LINE397_ATF4_D	ATF4	0.795933152105482	0.593535353950605	0.982549512603155	0.965625336098135	1
ENSG00000129535_LINE398_NRL_D	NRL	0.557662991426698	0.448548532747522	0.640344942149091	0.999991341074203	1
ENSG00000130522_LINE411_JUND_D_N6	JUND	0.596296689423662	0.471421000115572	0.697135248668668	0.999945118120796	1
ENSG00000130522_LINE400_JUND_D_N2	JUND	0.67004407134433	0.44565648560328	0.86631413879876	0.998972249538229	1
ENSG00000130522_LINE405_JUND_D_N1	JUND	0.738902684238693	0.621918394969647	0.830673417629627	0.991366643676863	1
ENSG00000130522_LINE409_JUND_D_N1	JUND	0.576296761393859	0.412965780807059	0.725947930026035	0.999978279524263	1
